Id,CreatedAt,Line,Type,Text
196255028359598080,"Sat Apr 28 15:10:19 +0000 2012","Metropolitan","Minor delays","Metropolitan Line: Minor delays are occurring between Harrow-on-the-Hill and Uxbridge due to non-availability of staff."
196253755417698304,"Sat Apr 28 15:05:16 +0000 2012","Metropolitan","Minor delays","Metropolitan Line: Minor delays are occurring between Harrow-on-the-Hill and Uxbridge due to non availability of staff."
196224825264586752,"Sat Apr 28 13:10:18 +0000 2012","Metropolitan","Minor delays","Metropolitan Line: Minor delays are occurring between Harrow-on-the-Hill and Uxbridge due to faulty trains."
196184599964037121,"Sat Apr 28 10:30:28 +0000 2012","Central","","Central Line: Back to good service."
196182043237941248,"Sat Apr 28 10:20:18 +0000 2012","Metropolitan","Minor delays","Metropolitan Line: Minor delays are occurring between Baker Street, Watford and Uxbridge due to faulty trains."
196179527452471296,"Sat Apr 28 10:10:18 +0000 2012","Metropolitan","Minor delays","Metropolitan Line: Minor delays are occurring due to a faulty train."
196166944934731776,"Sat Apr 28 09:20:18 +0000 2012","Central","Minor delays","Central Line: Minor delays are occurring between North Acton and West Ruislip due to an earlier faulty train at Greenford."
195965688521822208,"Fri Apr 27 20:00:35 +0000 2012","Metropolitan","","Metropolitan Line: Back to good service."
195960584745910272,"Fri Apr 27 19:40:18 +0000 2012","Metropolitan","Minor delays","Metropolitan Line: Minor delays are occurring between Baker Street and Wembley Park due to a faulty track at Finchley Road."
195921596706336768,"Fri Apr 27 17:05:23 +0000 2012","Metropolitan","Minor delays","Metropolitan Line: Minor delays are occurring between Aldgate and Wembley Park due to a faulty track at Finchley Road."
195881303298682880,"Fri Apr 27 14:25:16 +0000 2012","Central","Minor delays","Central Line: Minor delays are occurring due to non-availability of staff."
195868717429686272,"Fri Apr 27 13:35:15 +0000 2012","Circle","","Circle Line: Back to good service."
195854886175383552,"Fri Apr 27 12:40:18 +0000 2012","Circle","Minor delays","Circle Line: Minor delays are occurring due to earlier emergency works at Earl's Court."
195847337099280385,"Fri Apr 27 12:10:18 +0000 2012","Central","","Central Line: Back to good service."
195828451318571008,"Fri Apr 27 10:55:15 +0000 2012","Central","Minor delays","Central Line: Minor delays are occurring due to an earlier signal failure at North Acton."
195823423484731393,"Fri Apr 27 10:35:17 +0000 2012","","Minor delays","Bakerloo Line: Minor delays are occurring due to an earlier signal failure at Queens Park."
195798251721592832,"Fri Apr 27 08:55:15 +0000 2012","","Severe delays","Bakerloo Line: Severe delays are occurring between Queens Park and Harrow &amp;amp; Wealdstone due to an earlier signal failure at Queens Park."
195790704704880641,"Fri Apr 27 08:25:16 +0000 2012","","Severe delays","Bakerloo Line: Severe delays are occurring due to an earlier signal failure at Queens Park."
195751706250854401,"Fri Apr 27 05:50:18 +0000 2012","Central","Suspended","Central Line: Suspended between North Acton and Ealing Broadway due to a signal failure at North Acton."
195750472634728450,"Fri Apr 27 05:45:24 +0000 2012","Central","Suspended","Central Line: Suspended betweeen North Acton and Ealing Broadway due to a signal failure at North Acton."
195676208896290818,"Fri Apr 27 00:50:18 +0000 2012","","","Bakerloo Line: Back to good service."
195653558769684481,"Thu Apr 26 23:20:18 +0000 2012","Metropolitan","","Metropolitan Line: Back to good service."
195618403669651460,"Thu Apr 26 21:00:36 +0000 2012","","Severe delays","Bakerloo Line: Severe delays are occurring due to an obstruction earlier in the tunnel at Embankment."
195610820456095744,"Thu Apr 26 20:30:28 +0000 2012","","Severe delays","Bakerloo Line: Severe delays are occuring to all routes due to an earlier obstruction in the tunnel at Embankment."
195584378523500544,"Thu Apr 26 18:45:24 +0000 2012","Piccadilly","","Piccadilly Line: Back to good service."
195576828361064448,"Thu Apr 26 18:15:24 +0000 2012","Piccadilly","Minor delays","Piccadilly Line: Minor delays are occurring between Acton Town and Uxbridge due to a signal failure at South Harrow."
195569280857800704,"Thu Apr 26 17:45:24 +0000 2012","Victoria","","Victoria Line: Back to good service."
195560449788481537,"Thu Apr 26 17:10:19 +0000 2012","Victoria","Minor delays","Victoria Line: Minor delays are occurring  between Victoria and Brixton due to an earlier faulty train at Brixton."
195552896165748736,"Thu Apr 26 16:40:18 +0000 2012","Piccadilly","Suspended","Piccadilly Line: Suspended between Acton and Uxbridge due to a signal failure at South Harrow."
195440933519634434,"Thu Apr 26 09:15:24 +0000 2012","Circle","","Circle Line: Back to good service."
195428315107037184,"Thu Apr 26 08:25:15 +0000 2012","Circle","Minor delays","Circle Line: Minor delays are occurring anti-clockwise due to non availability of staff."
195423283703853056,"Thu Apr 26 08:05:16 +0000 2012","Metropolitan","Minor delays","Metropolitan Line: Minor delays are occurring between Harrow on the Hill and Uxbridge due to a signal failure at Harrow on the Hill."
195407057757802496,"Thu Apr 26 07:00:47 +0000 2012","Metropolitan","Severe delays","Metropolitan Line: Severe delays are occurring between Harrow on the Hill and Uxbridge due to a signal failure at Harrow on the Hill."
